iter	Passed	Remaining
274	387	1020
275	387	1017
276	388	1014
277	389	1011
278	390	1009
279	391	1006
280	392	1004
281	393	1001
282	394	999
283	395	996
284	396	993
285	396	990
286	397	988
287	398	985
288	399	982
289	400	980
290	401	977
291	402	974
292	402	972
293	403	969
294	404	966
295	405	964
296	406	961
297	407	958
298	407	956
299	408	953
300	409	950
301	410	948
302	411	945
303	411	942
304	412	940
305	413	938
306	414	935
307	415	932
308	416	930
309	417	928
310	417	925
311	418	923
312	419	920
313	420	918
314	421	915
315	421	913
316	422	910
317	423	908
318	424	906
319	425	903
320	426	901
321	427	899
322	427	896
323	428	894
324	429	892
325	430	890
326	431	887
327	432	885
328	433	883
329	433	880
330	434	878
331	435	876
332	436	874
333	437	871
334	437	869
335	438	867
336	439	864
337	440	862
338	441	860
339	442	858
340	442	855
341	443	853
342	444	851
343	445	849
344	446	847
345	447	845
346	447	842
347	448	840
348	449	838
349	450	836
350	451	834
351	451	832
352	452	829
353	453	827
354	454	825
355	455	823
356	455	820
357	456	818
358	457	816
359	458	814
360	459	812
361	460	810
362	460	808
363	461	806
364	462	804
365	463	802
366	464	800
367	464	798
368	465	796
369	466	794
370	467	792
371	468	790
372	469	788
373	470	786
374	470	784
375	471	782
376	472	780
377	473	778
378	474	777
379	475	775
380	476	773
381	476	771
382	477	769
383	478	767
384	479	766
385	480	764
386	481	762
387	482	760
388	483	758
389	483	756
390	484	755
391	485	753
392	486	751
393	487	749
394	488	747
395	489	745
396	489	744
397	490	742
398	491	740
399	492	738
400	493	736
401	494	735
402	495	733
403	496	731
404	496	729
405	497	727
406	498	726
407	499	724
408	500	723
409	501	721
410	502	719
411	503	718
412	504	716
413	505	715
414	506	713
415	507	711
416	508	710
417	508	708
418	510	707
419	511	705
420	511	703
421	512	702
422	513	700
423	514	698
424	515	697
425	516	695
426	517	693
427	517	692
428	518	690
429	519	688
430	520	687
431	521	685
432	522	683
433	522	681
434	523	680
435	524	678
436	525	676
437	526	674
438	526	673
439	527	671
440	528	669
441	529	668
442	530	666
443	531	665
444	531	663
445	532	661
446	533	660
447	534	658
448	535	657
449	536	655
450	537	653
451	538	652
452	538	650
453	539	649
454	540	647
455	541	645
456	542	644
457	543	642
458	543	641
459	544	639
460	545	638
461	546	636
462	547	635
463	548	633
464	549	632
465	550	630
466	551	629
467	552	627
468	552	626
469	553	624
470	554	623
471	555	621
472	556	619
473	557	618
474	557	616
475	558	615
476	559	613
477	560	611
478	561	610
479	561	608
480	562	607
481	563	605
482	564	604
483	565	602
